date,WandrilleD/DeCoSTAR,WandrilleD/FAIRer_tutorial,WandrilleD/GRACE-intro-machine-learning-training,WandrilleD/pyKleeBarcode
2025-10-23 00:00:00+00:00,2,0,0,0
2025-10-24 00:00:00+00:00,3,0,0,0
2025-10-25 00:00:00+00:00,1,0,0,0
2025-10-26 00:00:00+00:00,0,0,1,0
2025-10-27 00:00:00+00:00,1,0,2,1
2025-10-28 00:00:00+00:00,0,0,1,0
2025-10-29 00:00:00+00:00,0,0,0,1
2025-10-30 00:00:00+00:00,0,0,0,2
2025-10-31 00:00:00+00:00,1,0,2,0
2025-11-01 00:00:00+00:00,0,0,0,0
2025-11-02 00:00:00+00:00,0,0,0,0
2025-11-03 00:00:00+00:00,1,1,0,1
2025-11-04 00:00:00+00:00,1,0,0,0
2025-11-05 00:00:00+00:00,0,1,2,1
2025-11-06 00:00:00+00:00,0,1,0,0
2025-11-07 00:00:00+00:00,0,0,0,0
2025-11-08 00:00:00+00:00,0,0,0,0
2025-11-09 00:00:00+00:00,0,0,0,1
2025-11-10 00:00:00+00:00,0,0,0,0
2025-11-11 00:00:00+00:00,0,0,0,0
2025-11-12 00:00:00+00:00,0,0,0,0
2025-11-13 00:00:00+00:00,0,0,0,1
2025-11-14 00:00:00+00:00,0,0,0,0
2025-11-15 00:00:00+00:00,1,0,1,0
2025-11-16 00:00:00+00:00,0,0,0,0
2025-11-17 00:00:00+00:00,0,0,0,0
2025-11-18 00:00:00+00:00,0,0,0,0
2025-11-19 00:00:00+00:00,0,0,0,0
2025-11-20 00:00:00+00:00,0,0,0,1
2025-11-21 00:00:00+00:00,0,0,0,0
2025-11-22 00:00:00+00:00,0,0,0,0
2025-11-23 00:00:00+00:00,0,1,0,0
