date,WandrilleD/DeCoSTAR,WandrilleD/FAIRer_tutorial,WandrilleD/GRACE-intro-machine-learning-training,WandrilleD/pyKleeBarcode
2025-10-23 00:00:00+00:00,0,0,1,0
2025-10-24 00:00:00+00:00,29,0,0,0
2025-10-25 00:00:00+00:00,0,0,0,0
2025-10-26 00:00:00+00:00,1,0,0,0
2025-10-27 00:00:00+00:00,0,0,0,0
2025-10-28 00:00:00+00:00,0,0,1,0
2025-10-29 00:00:00+00:00,0,0,0,0
2025-10-30 00:00:00+00:00,2,0,0,0
2025-10-31 00:00:00+00:00,0,0,0,0
2025-11-01 00:00:00+00:00,0,0,1,0
2025-11-02 00:00:00+00:00,0,0,0,0
2025-11-03 00:00:00+00:00,0,0,0,0
2025-11-04 00:00:00+00:00,1,0,1,0
2025-11-05 00:00:00+00:00,0,0,0,0
